experiment,time_h,depth_m,temperature_k,inflow_1e-5_kg_s,inlet_temperature_k,column_height_m,vwc
1,0.0,0.03,298.15,8.33,423.15,0.3,0.0
1,0.0,0.06,298.15,8.33,423.15,0.3,0.0
1,0.0,0.09,298.15,8.33,423.15,0.3,0.0
1,0.0,0.12,298.15,8.33,423.15,0.3,0.0
1,0.0,0.15,298.15,8.33,423.15,0.3,0.0
1,0.0,0.18,298.15,8.33,423.15,0.3,0.0
1,0.0,0.21,298.15,8.33,423.15,0.3,0.0
1,0.0,0.24,298.15,8.33,423.15,0.3,0.0
1,0.0,0.27,298.15,8.33,423.15,0.3,0.0
1,0.0,0.3,298.15,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.03,299.15,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.06,298.15,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.09,298.15,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.12,298.15,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.15,298.4,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.18,298.4,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.21,298.4,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.24,297.9,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.27,297.9,8.33,423.15,0.3,0.0
1,0.016666666666666666,0.3,297.9,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.03,299.15,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.06,298.15,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.09,297.65,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.12,297.9,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.15,298.4,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.18,298.4,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.21,298.15,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.24,297.4,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.27,298.15,8.33,423.15,0.3,0.0
1,0.03333333333333333,0.3,298.15,8.33,423.15,0.3,0.0
1,0.05,0.03,298.9,8.33,423.15,0.3,0.0
1,0.05,0.06,298.4,8.33,423.15,0.3,0.0
1,0.05,0.09,297.9,8.33,423.15,0.3,0.0
1,0.05,0.12,297.65,8.33,423.15,0.3,0.0
1,0.05,0.15,298.65,8.33,423.15,0.3,0.0
1,0.05,0.18,297.9,8.33,423.15,0.3,0.0
1,0.05,0.21,298.4,8.33,423.15,0.3,0.0
1,0.05,0.24,297.65,8.33,423.15,0.3,0.0
1,0.05,0.27,298.15,8.33,423.15,0.3,0.0
1,0.05,0.3,297.9,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.03,299.4,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.06,298.15,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.09,297.65,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.12,297.65,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.15,297.9,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.18,298.4,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.21,298.15,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.24,297.9,8.33,423.15,0.3,0.0
1,0.06666666666666667,0.27,298.4,8.33,423.15,0.3,0.0
