device,size,seed,alpha,requested_rtol,converged,selected_dimension,estimated_relative_disagreement,actual_relative_error,seconds
cuda,64,0,0.55,0.001,True,12,0.0009183035697522185,1.3263360673660209e-05,0.03848350001499057
cuda,64,0,0.55,1e-05,True,24,4.2795727297902285e-06,1.4702348347895576e-06,0.060457500047050416
cuda,64,0,0.55,1e-07,True,64,4.689178043256473e-08,9.776705951657071e-12,0.2631773001048714
cuda,64,1,0.65,0.001,True,12,0.0008794672075632813,1.1451335478556362e-05,0.018727799993939698
cuda,64,1,0.65,1e-05,True,24,7.248506451710346e-08,2.5372237732238744e-08,0.05225499998778105
cuda,64,1,0.65,1e-07,True,24,7.248506451710346e-08,2.5372237732238744e-08,0.05311509990133345
cuda,64,2,0.75,0.001,True,12,0.000459986432893164,3.0556457239297156e-06,0.020739799947477877
cuda,64,2,0.75,1e-05,True,16,3.0603510390687036e-06,8.606978838768137e-08,0.03313859994523227
cuda,64,2,0.75,1e-07,True,24,8.564619141011724e-08,2.14166052359968e-09,0.05508149997331202
cuda,64,3,0.8500000000000001,0.001,True,12,0.00024643406877288134,6.229377751377066e-07,0.0191945000551641
cuda,64,3,0.8500000000000001,1e-05,True,16,6.228867564600576e-07,1.693603872499834e-09,0.031345500028692186
cuda,64,3,0.8500000000000001,1e-07,True,24,1.7131490818680648e-09,3.199271838265823e-10,0.05332120007369667
cuda,64,4,0.55,0.001,True,12,0.0007475119650773182,1.3331407636838467e-05,0.025884500006213784
cuda,64,4,0.55,1e-05,True,24,5.347440022520425e-06,1.0236769731750472e-06,0.068735699984245
cuda,64,4,0.55,1e-07,True,64,6.138161750306303e-08,8.210502532030174e-12,0.3112966000335291
cuda,128,0,0.55,0.001,True,16,1.8671208798651815e-05,5.2713858357317895e-06,0.043499100022017956
cuda,128,0,0.55,1e-05,True,24,5.382837004906048e-06,2.2529666952757137e-06,0.0692890000063926
cuda,128,0,0.55,1e-07,False,64,2.7827282768326156e-07,5.036657427220257e-08,0.31244709994643927
cuda,128,1,0.65,0.001,True,16,1.727686930131951e-05,2.748476492751688e-07,0.03807180002331734
cuda,128,1,0.65,1e-05,True,24,2.6881063890784003e-07,5.487102722941868e-08,0.06327230005990714
cuda,128,1,0.65,1e-07,True,32,2.704086757107839e-08,5.1255954612453655e-08,0.10065789998043329
cuda,128,2,0.75,0.001,True,12,0.0005729237473846818,4.26860633130506e-06,0.0217515000840649
cuda,128,2,0.75,1e-05,True,16,4.26620688738188e-06,2.847354330436993e-07,0.03603219997603446
cuda,128,2,0.75,1e-07,True,32,8.149207664429529e-08,4.5989945557286556e-08,0.09922930004540831
cuda,128,3,0.8500000000000001,0.001,True,12,0.0004383755718757284,1.6699455650089852e-06,0.02370720007456839
cuda,128,3,0.8500000000000001,1e-05,True,16,1.6723304231011463e-06,4.369261305236913e-08,0.03836440003942698
cuda,128,3,0.8500000000000001,1e-07,True,24,4.031040438473108e-08,8.486919568389152e-09,0.06343440001364797
cuda,128,4,0.55,0.001,True,16,2.833550376788921e-05,8.789254150688039e-06,0.04360390000510961
cuda,128,4,0.55,1e-05,True,24,9.299728992391182e-06,3.1552387861183574e-06,0.06835680000949651
cuda,128,4,0.55,1e-07,False,64,3.4048800801801017e-07,9.02466515215125e-08,0.3106936999829486
