condition,seed,model,inferred_alpha,inferred_rate,heldout_relative_error,late_lag_relative_error,parameter_count,training_seconds,residual_fraction
Brownian slow population,0,Exponential,1.0,0.009758319103025045,0.13200034415050266,0.17785392844704503,1,0.0,0.0
Brownian slow population,0,Stretched exponential,0.04478797297039199,0.1192463978932952,0.027122734505949417,0.030595575788147557,2,0.0,0.0
Brownian slow population,0,Direct MLSL inverse,0.2000121583610098,0.08191736631228307,0.043051632171258236,0.05441420873808227,2,0.4060384000185877,0.0
Brownian slow population,0,Pure MLP,,,0.026751777443251096,0.029940292527317145,1153,0.5506220000097528,1.0
Brownian slow population,0,MLSL + residual MLP,0.22526788513754015,0.0957374486153615,0.029425359086695673,0.0345413327370253,323,1.3589985000435263,0.04933322409062198
Brownian slow population,1,Exponential,1.0,0.008614893032077282,0.09809957769542425,0.11898805171156089,1,0.0,0.0
Brownian slow population,1,Stretched exponential,0.03603041844254909,0.10761984821715152,0.02342997954973051,0.02274690681939842,2,0.0,0.0
Brownian slow population,1,Direct MLSL inverse,0.2000129131656218,0.07194993116807588,0.020648368091785295,0.00465982905278832,2,0.41427319997455925,0.0
Brownian slow population,1,Pure MLP,,,0.023471807664215954,0.02283749967386151,1153,0.5498926999280229,1.0
Brownian slow population,1,MLSL + residual MLP,0.22581176664586045,0.08426977824534139,0.02137505244459195,0.0182471259033357,323,1.5603245999664068,0.04501616833648327
Brownian slow population,2,Exponential,1.0,0.0086128092611201,0.09907579871970994,0.11882116286923441,1,0.0,0.0
Brownian slow population,2,Stretched exponential,0.04594126893118367,0.10491429906526042,0.02459852054301495,0.022212931873287926,2,0.0,0.0
Brownian slow population,2,Direct MLSL inverse,0.2000127113367935,0.07169412101680658,0.022796658038531252,0.005288282392610725,2,0.4341770999599248,0.0
Brownian slow population,2,Pure MLP,,,0.025370309145789832,0.023912710154564535,1153,0.5726246999111027,1.0
Brownian slow population,2,MLSL + residual MLP,0.22601867991741115,0.08358247461224576,0.022891454764068564,0.01818574637025697,323,1.4439272000454366,0.04357841936135548
Brownian slow population,3,Exponential,1.0,0.009496832943294467,0.1200648878966396,0.16114155066874983,1,0.0,0.0
Brownian slow population,3,Stretched exponential,0.03171112958557161,0.11998139897640758,0.013243672233007776,0.01308433736752284,2,0.0,0.0
Brownian slow population,3,Direct MLSL inverse,0.2000125425431338,0.07993652269910238,0.030256832809065975,0.03889567883715626,2,0.4600617000833154,0.0
Brownian slow population,3,Pure MLP,,,0.012751009319688067,0.012038381589995775,1153,0.7123942000325769,1.0
Brownian slow population,3,MLSL + residual MLP,0.2252488349662382,0.09312418973248597,0.016503800621041065,0.01841919488885541,323,1.7087216000072658,0.04825283954292091
Brownian slow population,4,Exponential,1.0,0.009432274479963526,0.12015164706746212,0.15964776023548444,1,0.0,0.0
Brownian slow population,4,Stretched exponential,0.044043270429640465,0.11545786479995934,0.011567427419603154,0.01369743829417359,2,0.0,0.0
Brownian slow population,4,Direct MLSL inverse,0.20001234333459578,0.07900801001545925,0.02921393634133263,0.037383056261262225,2,0.4477052999427542,0.0
Brownian slow population,4,Pure MLP,,,0.010844681873050856,0.012482047525316542,1153,0.6125855999998748,1.0
