condition,model,seeds,heldout_error_mean,heldout_error_std,late_error_mean,late_error_std,alpha_mean,alpha_std
Brownian slow population,Exponential,5,0.11387845110594771,0.014782754809474712,0.14729049078641493,0.026880329143157525,1.0,0.0
Brownian slow population,Stretched exponential,5,0.01999246685026116,0.0070781434574206745,0.02046743802850607,0.007265758270514031,0.040502812071867365,0.006280331361389711
Brownian slow population,Direct MLSL inverse,5,0.02919348549039468,0.008762388201721741,0.02812821105637996,0.022163999478497887,0.20001253374823094,2.9696191784873347e-07
Brownian slow population,Pure MLP,5,0.01983791708919916,0.00746184509623594,0.020242186294211102,0.007774699781889209,,
Brownian slow population,MLSL + residual MLP,5,0.02091637850611433,0.005887015349717385,0.021522306351505767,0.007278415990725593,0.22555056419716185,0.00034615960883374684
Brownian fast population,Exponential,5,0.04188271249702313,0.012781173116958115,0.172221394551377,0.0507119301158831,1.0,0.0
Brownian fast population,Stretched exponential,5,0.03817760425912814,0.00943130906665319,0.19611437078253804,0.07417541929086714,1.0034153269455088,0.0038010816071133704
Brownian fast population,Direct MLSL inverse,5,0.02713905525544197,0.0121718590454985,0.15243897058667683,0.09657885550130482,0.9809730903218018,0.002969372143719357
Brownian fast population,Pure MLP,5,0.04547253106698259,0.023279006825648332,0.4366488249186974,0.2661429596334302,,
Brownian fast population,MLSL + residual MLP,5,0.057161623508152126,0.02022368979228019,0.5630007149614179,0.2574599644022014,1.020622869100102,0.0033906413471793836
