test,stretch_ratio,seed,model,train_relative_error,extrapolation_relative_error,alpha,rate_per_train_horizon,parameter_count,training_seconds,residual_fraction
1,1.001,0,Exponential,0.17755200806494623,0.3089492866274325,1.0,2.2337538271011725,3,0.18288249999750406,0.0
1,1.001,0,Stretched exponential,0.0598241323650155,0.3386399561852775,0.48502815997040677,1.754335211904424,4,0.21112170000560582,0.0
1,1.001,0,Fractional Zener / MLSL,0.06475704075444301,0.4080861885109511,0.6062309614847818,1.898884724186119,4,0.5342363999225199,0.0
1,1.001,0,Pure MLP,0.06104292833289164,0.31848407981441035,,,1153,0.5083076000446454,1.0
1,1.001,0,MLSL + residual MLP,0.06506617657546192,0.3570306851904464,0.7280312377435356,0.43148120851771704,10,1.326505700009875,2.077181169634403
1,1.001,1,Exponential,0.17661263601395255,0.3010658792579215,1.0,2.2525906644817346,3,0.20417339995037764,0.0
1,1.001,1,Stretched exponential,0.05954927396518129,0.3365372227206854,0.48134136702654057,1.7462611305302733,4,0.20604860002640635,0.0
1,1.001,1,Fractional Zener / MLSL,0.06419177820675377,0.40615539460341127,0.6020059864642642,1.8925645622151614,4,0.5422781000379473,0.0
1,1.001,1,Pure MLP,0.06889711151900177,0.3399187861885009,,,1153,0.5226025999290869,1.0
1,1.001,1,MLSL + residual MLP,0.06128507109186447,0.3047346625315722,0.7472138561876085,0.4229251237806612,10,1.313584899995476,2.0198498758871897
1,1.001,2,Exponential,0.1742613570278871,0.29186124283543213,1.0,2.30176745611939,3,0.18839090003166348,0.0
1,1.001,2,Stretched exponential,0.05934461741888064,0.33793483021340465,0.47888871890513246,1.7468074132327516,4,0.21450639993418008,0.0
1,1.001,2,Fractional Zener / MLSL,0.0637262357431421,0.4079009056009582,0.598778188650253,1.8953683854319834,4,0.5314950000029057,0.0
1,1.001,2,Pure MLP,0.06493789492000752,0.31078353483384025,,,1153,0.4745346000418067,1.0
1,1.001,2,MLSL + residual MLP,0.06846685768787665,0.30232169987525676,0.6976912991227091,0.4323848053926924,10,1.3260407000780106,2.1494384187106026
2,1.003,0,Exponential,0.2314076524953173,0.23779979266622128,1.0,2.2684622721575898,3,0.16548109997529536,0.0
2,1.003,0,Stretched exponential,0.05879923151184013,0.3316743904792142,0.43830533602778776,1.8718223496846007,4,0.21372429991606623,0.0
2,1.003,0,Fractional Zener / MLSL,0.06691581488703992,0.3752031412557881,0.5607060088224993,2.0410867390297005,4,0.534662300022319,0.0
2,1.003,0,Pure MLP,0.04983166205078863,0.2591522465596617,,,1153,0.5130477999337018,1.0
2,1.003,0,MLSL + residual MLP,0.056412003280166,0.16665088386714533,0.7016603225490881,0.4275399000516678,10,1.2852127999067307,2.4242337915133563
2,1.003,1,Exponential,0.23050430192189003,0.23583343221513328,1.0,2.2854678390228145,3,0.1971198000246659,0.0
2,1.003,1,Stretched exponential,0.0579442713678753,0.329282865530949,0.4339120353361159,1.8641863920995894,4,0.21254269999917597,0.0
2,1.003,1,Fractional Zener / MLSL,0.06535354031924685,0.37310362059980834,0.5555278723006756,2.0363330734906206,4,0.5351964000146836,0.0
2,1.003,1,Pure MLP,0.05772163198757666,0.21644603117728123,,,1153,0.4986445000395179,1.0
2,1.003,1,MLSL + residual MLP,0.050979995347002545,0.1535760408738103,0.7238689254300315,0.42233556064160316,10,1.2976002000505105,2.3641200664198534
2,1.003,2,Exponential,0.22792907634621543,0.23787959869082145,1.0,2.3362692336048356,3,0.18637660006061196,0.0
2,1.003,2,Stretched exponential,0.05710483496301668,0.33193385743636067,0.4305475817353283,1.866699661952662,4,0.2137412999290973,0.0
2,1.003,2,Fractional Zener / MLSL,0.06377078033752173,0.374811193241107,0.5511285717411276,2.0427595050534735,4,0.5321537000127137,0.0
2,1.003,2,Pure MLP,0.05294458695525435,0.3536400948338608,,,1153,0.5019429000094533,1.0
2,1.003,2,MLSL + residual MLP,0.059537239059935534,0.16827541990394027,0.6820002568063863,0.43733949858910753,10,1.2954117000335827,2.4510150757804814
3,1.005,0,Exponential,0.21086440445643276,0.30093206601711014,1.0,2.3201143694689668,3,0.1638610000954941,0.0
3,1.005,0,Stretched exponential,0.04235287247895989,0.3476752293272039,0.4456473734674401,1.865059552000872,4,0.20967770006973296,0.0
3,1.005,0,Fractional Zener / MLSL,0.04997509288027333,0.4007864228037094,0.5677485402502165,2.0387085645608245,4,0.5318315000040457,0.0
3,1.005,0,Pure MLP,0.03939387833405708,0.3858420295199136,,,1153,0.4971085999859497,1.0
3,1.005,0,MLSL + residual MLP,0.04675229695080214,0.37210628596834366,0.7280508899032756,0.43405862101530934,10,1.3109071999788284,2.272068941359834
3,1.005,1,Exponential,0.20990609185626322,0.2924029779842013,1.0,2.339072354869018,3,0.21246790001168847,0.0
3,1.005,1,Stretched exponential,0.041526041498789655,0.3450829032062676,0.4413831040618091,1.856647657173481,4,0.22260420001111925,0.0
3,1.005,1,Fractional Zener / MLSL,0.04845223741517527,0.3983506661533892,0.5627349509574269,2.0328451837954344,4,0.5533412999939173,0.0
3,1.005,1,Pure MLP,0.046536736050013426,0.4073405684639856,,,1153,0.5646934000542387,1.0
3,1.005,1,MLSL + residual MLP,0.0394095877176285,0.3065853582951409,0.7582174152658541,0.426973976359223,10,1.407213700003922,2.2227163662092644
3,1.005,2,Exponential,0.20731840098196413,0.28101743480374786,1.0,2.392316156930159,3,0.1943524000234902,0.0
3,1.005,2,Stretched exponential,0.0407533852919336,0.3471944333101896,0.4382056542101856,1.8579163504108887,4,0.21191090007778257,0.0
3,1.005,2,Fractional Zener / MLSL,0.046956137846773965,0.39993682851592977,0.5585622665739898,2.037629604625484,4,0.5518231999594718,0.0
3,1.005,2,Pure MLP,0.04507245140459905,0.45965354063120417,,,1153,0.5460217000218108,1.0
3,1.005,2,MLSL + residual MLP,0.052381653654122846,0.3194147654463375,0.693644444117339,0.43718029341113795,10,1.3868366999085993,2.317878719183725
4,1.008,0,Exponential,0.19501229610796772,0.20952780734081491,1.0,2.120230820128059,3,0.1637598000233993,0.0
4,1.008,0,Stretched exponential,0.049245466798431545,0.38369122386421034,0.46737804425266866,1.7558419431679102,4,0.21042409993242472,0.0
4,1.008,0,Fractional Zener / MLSL,0.05338496146149694,0.45450925181999635,0.5896494754647819,1.9004593260523166,4,0.5532992999069393,0.0
4,1.008,0,Pure MLP,0.04391901249090776,0.15839221994655286,,,1153,0.6051367999752983,1.0
4,1.008,0,MLSL + residual MLP,0.048564378453887835,0.15687524082090526,0.7519610650435493,0.4321995622224577,10,1.467049999977462,2.1858555455749027
4,1.008,1,Exponential,0.19386463570095613,0.21215543585300822,1.0,2.141197829865736,3,0.21476779994554818,0.0
4,1.008,1,Stretched exponential,0.0487733453426356,0.38227593037622337,0.46364555289621967,1.7502222386866997,4,0.2083701000083238,0.0
4,1.008,1,Fractional Zener / MLSL,0.05247303003034011,0.4533467125081193,0.5854175077164068,1.896872194036784,4,0.5397503999993205,0.0
4,1.008,1,Pure MLP,0.048356171608467384,0.16651655356425532,,,1153,0.5158878000220284,1.0
4,1.008,1,MLSL + residual MLP,0.04415892175956033,0.21254834662812536,0.772785240628612,0.4240809572360343,10,1.354439500020817,2.143446524377014
4,1.008,2,Exponential,0.19112159591198133,0.22693027348501218,1.0,2.1935047976535915,3,0.1864964000415057,0.0
4,1.008,2,Stretched exponential,0.04830902337361207,0.3860759806702714,0.4610636329370932,1.754188886742388,4,0.21819319995120168,0.0
4,1.008,2,Fractional Zener / MLSL,0.05158950789426383,0.4562882020001111,0.5821235788806335,1.9035110612770638,4,0.544356899918057,0.0
4,1.008,2,Pure MLP,0.08785422559473442,0.3523550521493206,,,1153,0.5404379999963567,1.0
4,1.008,2,MLSL + residual MLP,0.05283021495018495,0.156762994564615,0.7273212414900099,0.436867955399095,10,1.3096378999762237,2.2184922545445875
