step,loss,alpha,beta
0,9.930216146005745e-05,1.6898545523625035,1.4403200971225036
10,4.392464930603599e-05,1.609429678695419,1.5600233001963497
20,9.289172087820528e-06,1.5235484734327356,1.651884563475389
30,1.2283401631750336e-05,1.4987778559249452,1.6574489236764407
40,8.306546694433806e-06,1.5200935650533551,1.610293503101924
50,6.684077339966701e-06,1.5044321806945153,1.5921441213876153
60,5.425501257907372e-06,1.4811204806724194,1.5776892490939263
70,4.015859411380474e-06,1.473145291129707,1.5418586060320565
80,2.921393708331953e-06,1.458303630194153,1.513662090726883
90,2.0145081876444156e-06,1.4427051183592836,1.4876462730830435
100,1.3047238105205254e-06,1.431321200356037,1.4586236346420953
110,7.951092789168005e-07,1.4191256518329316,1.435773297065122
120,4.5681473226986744e-07,1.4095938250120856,1.4146615017407744
130,2.474495646502882e-07,1.4016582550962955,1.3974078966817847
140,1.265312008946247e-07,1.3952618144368567,1.3839104214586615
150,6.139643191239494e-08,1.3905708259585214,1.373243674913679
160,2.8651834827585856e-08,1.3869850245555742,1.3655987888339625
170,1.3315009459473699e-08,1.3845225250412456,1.35998689047473
180,6.644684760364578e-09,1.3827852413017836,1.3562116016353083
190,3.9691890261705e-09,1.3816609627487784,1.353665506999258
200,2.9906673408404892e-09,1.380935662407637,1.3520684836298624
210,2.6705781711604083e-09,1.380501478828672,1.3510903127417389
220,2.5801230087317224e-09,1.3802505033333667,1.3505340035934812
230,2.559588301020958e-09,1.3801178528347458,1.3502358765928442
240,2.556557244900286e-09,1.380053869299931,1.3500938553683755
250,2.5565773693668304e-09,1.3800286430805493,1.3500369778759003
260,2.5566844803443594e-09,1.3800225416018903,1.3500237006806504
270,2.55663850192163e-09,1.3800249272359983,1.350028762848087
280,2.556561471871108e-09,1.3800297101154209,1.3500396577420477
290,2.5565112862751028e-09,1.3800344015720576,1.3500499759999547
300,2.5564889609572598e-09,1.3800378806097724,1.3500578705702453
310,2.556481641683669e-09,1.380040168232421,1.3500628933086687
320,2.5564799754530235e-09,1.3800414237796315,1.3500657581212399
330,2.5564797969706894e-09,1.3800420312386914,1.3500670769270862
340,2.556479825230893e-09,1.3800422313549083,1.3500675465411915
350,2.5564798281745825e-09,1.3800422459130188,1.350067567199821
360,2.5564798141461134e-09,1.380042183405323,1.3500674327354014
370,2.5564798029528886e-09,1.3800421124914946,1.3500672728784724
380,2.5564797980421208e-09,1.3800420568842884,1.3500671483209208
390,2.556479796679696e-09,1.3800420218131328,1.3500670708682505
400,2.5564797964923834e-09,1.3800420043444268,1.3500670309915708
410,2.556479796508636e-09,1.3800419976833163,1.350067016687206
420,2.5564797965128925e-09,1.3800419971066953,1.3500670151075103
430,2.5564797965028675e-09,1.380041998730379,1.3500670188236195
440,2.5564797964953873e-09,1.3800420007070222,1.3500670232561363
450,2.5564797964918693e-09,1.3800420022258355,1.3500670266006423
460,2.5564797964914127e-09,1.3800420030949923,1.3500670285832217
470,2.556479796491667e-09,1.3800420034837289,1.3500670294305888
480,2.5564797964914015e-09,1.3800420035690828,1.3500670296260469
490,2.556479796491256e-09,1.3800420035212513,1.3500670295224433
500,2.556479796491823e-09,1.380042003442714,1.350067029342421
