step,loss,alpha
0,0.005859286491704744,1.7416723051491156
10,0.0033779845705011204,1.6510065577353692
20,0.0011339795945525895,1.5451693545845906
30,7.040598720666678e-05,1.4489859441184805
40,5.0230595718287544e-05,1.3965794935697082
50,6.058398714585729e-05,1.3943311743338627
60,3.2959854580895956e-06,1.4139078244934984
70,3.640818872805571e-06,1.4264477295812528
80,2.5285390817755715e-06,1.4253626281438123
90,1.0928827020549687e-08,1.419946542766246
100,3.478151125997777e-07,1.4180329600868813
110,4.507287306577576e-08,1.419363145268025
120,3.506214666866033e-08,1.420512854941081
130,2.1696652460656225e-08,1.4203395728811152
140,1.1947442712537313e-08,1.4198721730380557
150,1.2629532863698378e-08,1.4198423428634022
160,1.0824404273025018e-08,1.4200088044596861
170,1.1035706789902616e-08,1.420040772470444
180,1.0784823297592015e-08,1.4199831603130542
190,1.0815451151220174e-08,1.4199681125580264
200,1.0783535221465787e-08,1.4199885235973022
210,1.0787341080661383e-08,1.4199939159779325
220,1.0783440117821956e-08,1.4199864002806617
230,1.0783847950492284e-08,1.4199849076546618
240,1.0783407054552125e-08,1.419987732042077
250,1.0783431029854013e-08,1.419987947542217
260,1.078339071154259e-08,1.4199869080890504
270,1.0783386578679912e-08,1.4199870010562863
280,1.0783384733665217e-08,1.4199873541341996
290,1.0783382972433792e-08,1.4199872464696395
300,1.0783383166708006e-08,1.4199871461228348
310,1.0783382838203516e-08,1.419987210101513
320,1.0783382874849515e-08,1.4199872279062058
330,1.0783382842344149e-08,1.4199871998932312
340,1.078338283949283e-08,1.419987202559233
350,1.0783382839110607e-08,1.419987211564028
360,1.078338283751609e-08,1.4199872073763118
370,1.0783382837718821e-08,1.4199872057853073
380,1.0783382837546402e-08,1.4199872078980291
390,1.078338283752105e-08,1.4199872075777265
400,1.0783382837525008e-08,1.4199872069724002
