boundary,alpha,beta,output_shape,finite_output,finite_alpha_grad,finite_beta_grad,constant_mode_error,passed
dirichlet,0.65,1.0,"(8, 80)",True,True,True,,True
dirichlet,0.65,1.5,"(8, 80)",True,True,True,,True
dirichlet,0.65,2.0,"(8, 80)",True,True,True,,True
dirichlet,1.25,1.0,"(8, 80)",True,True,True,,True
dirichlet,1.25,1.5,"(8, 80)",True,True,True,,True
dirichlet,1.25,2.0,"(8, 80)",True,True,True,,True
dirichlet,1.75,1.0,"(8, 80)",True,True,True,,True
dirichlet,1.75,1.5,"(8, 80)",True,True,True,,True
dirichlet,1.75,2.0,"(8, 80)",True,True,True,,True
neumann,0.65,1.0,"(8, 80)",True,True,True,2.55351295663786e-15,True
neumann,0.65,1.5,"(8, 80)",True,True,True,2.55351295663786e-15,True
neumann,0.65,2.0,"(8, 80)",True,True,True,2.55351295663786e-15,True
neumann,1.25,1.0,"(8, 80)",True,True,True,2.55351295663786e-15,True
neumann,1.25,1.5,"(8, 80)",True,True,True,2.55351295663786e-15,True
neumann,1.25,2.0,"(8, 80)",True,True,True,2.55351295663786e-15,True
neumann,1.75,1.0,"(8, 80)",True,True,True,2.55351295663786e-15,True
neumann,1.75,1.5,"(8, 80)",True,True,True,2.55351295663786e-15,True
neumann,1.75,2.0,"(8, 80)",True,True,True,2.55351295663786e-15,True
periodic,0.65,1.0,"(8, 80)",True,True,True,1.3322676295501878e-15,True
periodic,0.65,1.5,"(8, 80)",True,True,True,1.3322676295501878e-15,True
periodic,0.65,2.0,"(8, 80)",True,True,True,1.3322676295501878e-15,True
periodic,1.25,1.0,"(8, 80)",True,True,True,1.3322676295501878e-15,True
periodic,1.25,1.5,"(8, 80)",True,True,True,1.3322676295501878e-15,True
periodic,1.25,2.0,"(8, 80)",True,True,True,1.3322676295501878e-15,True
periodic,1.75,1.0,"(8, 80)",True,True,True,1.3322676295501878e-15,True
periodic,1.75,1.5,"(8, 80)",True,True,True,1.3322676295501878e-15,True
periodic,1.75,2.0,"(8, 80)",True,True,True,1.3322676295501878e-15,True
mixed_dn,0.65,1.0,"(8, 80)",True,True,True,,True
mixed_dn,0.65,1.5,"(8, 80)",True,True,True,,True
mixed_dn,0.65,2.0,"(8, 80)",True,True,True,,True
mixed_dn,1.25,1.0,"(8, 80)",True,True,True,,True
mixed_dn,1.25,1.5,"(8, 80)",True,True,True,,True
mixed_dn,1.25,2.0,"(8, 80)",True,True,True,,True
mixed_dn,1.75,1.0,"(8, 80)",True,True,True,,True
mixed_dn,1.75,1.5,"(8, 80)",True,True,True,,True
mixed_dn,1.75,2.0,"(8, 80)",True,True,True,,True
mixed_nd,0.65,1.0,"(8, 80)",True,True,True,,True
mixed_nd,0.65,1.5,"(8, 80)",True,True,True,,True
mixed_nd,0.65,2.0,"(8, 80)",True,True,True,,True
mixed_nd,1.25,1.0,"(8, 80)",True,True,True,,True
mixed_nd,1.25,1.5,"(8, 80)",True,True,True,,True
mixed_nd,1.25,2.0,"(8, 80)",True,True,True,,True
mixed_nd,1.75,1.0,"(8, 80)",True,True,True,,True
mixed_nd,1.75,1.5,"(8, 80)",True,True,True,,True
mixed_nd,1.75,2.0,"(8, 80)",True,True,True,,True
