seed,model,train_relative_error,long_time_relative_error
0,MLSL_backbone_only,0.09637545534300379,0.9833890315030805
0,Hybrid_MLSL_unknown_forcing,0.024219900839968035,0.3231562611889822
0,FNO1D_width36_modes12,0.3799209873323579,1.3226217015612627
0,DeepONet_latent72_hidden112,0.4247705442181706,1.2165059456798506
1,MLSL_backbone_only,0.09806097055411529,0.9729741969103664
1,Hybrid_MLSL_unknown_forcing,0.025103840462631432,0.3448162947665179
1,FNO1D_width36_modes12,0.330128002067291,1.0124602318692695
1,DeepONet_latent72_hidden112,0.39864781080345907,1.0452077684506276
2,MLSL_backbone_only,0.10651010870549889,1.013683593225235
2,Hybrid_MLSL_unknown_forcing,0.026804134613862544,0.3315753648479012
2,FNO1D_width36_modes12,0.4177672452882249,0.8999630498363983
2,DeepONet_latent72_hidden112,0.47112327362889533,1.2373432168447593
