alpha,beta,z,hybrid_value,mp_reference,absolute_error,relative_error
0.65,0.65,-0.1,0.6202474994790809,0.6202474994790809,0.0,0.0
0.65,0.65,-1.0,0.1900677286470932,0.19006772864709254,6.661338147750939e-16,3.5047181313558762e-15
0.65,0.65,-3.0,0.03383248237543057,0.03383248237526339,1.6718570972074076e-13,4.941573836242609e-12
0.65,0.65,-6.0,0.008242509327828884,0.008242498649614648,1.0678214236448103e-08,1.2955069439953537e-06
0.65,1.0,-0.1,0.8969767979673208,0.8969767979673209,1.1102230246251565e-16,1.237738843569959e-16
0.65,1.0,-1.0,0.4063751283021175,0.40637512830211747,5.551115123125783e-17,1.3660075965571482e-16
0.65,1.0,-3.0,0.1491501299635445,0.14915012996355692,1.2434497875801753e-14,8.336900463204408e-14
0.65,1.0,-6.0,0.07127070147544146,0.07127070390909793,2.433656470790524e-09,3.414665966951198e-08
0.65,1.5,-0.1,1.0408433731400575,1.0408433731400577,2.220446049250313e-16,2.1333142973775036e-16
0.65,1.5,-1.0,0.5781902233953109,0.578190223395311,1.1102230246251565e-16,1.920169141058085e-16
0.65,1.5,-3.0,0.2660139501116916,0.2660139501116908,7.771561172376096e-16,2.921486323974011e-15
0.65,1.5,-6.0,0.14245958474930376,0.14245958346290719,1.2863965725973259e-09,9.029905474434231e-09
0.85,0.85,-0.1,0.7957693226498194,0.7957693226498193,1.1102230246251565e-16,1.3951568539086718e-16
0.85,0.85,-1.0,0.28102493580980287,0.28102493580980303,1.6653345369377348e-16,5.925931562403519e-16
0.85,0.85,-3.0,0.041957105978056575,0.041957105978057394,8.187894806610529e-16,1.9514917951902142e-14
0.85,0.85,-6.0,0.006903046431716575,0.006903046431860351,1.4377561641243375e-13,2.0827850113951303e-11
0.85,1.0,-0.1,0.9004470491447284,0.9004470491447286,2.220446049250313e-16,2.4659373933862725e-16
0.85,1.0,-1.0,0.3812310030134624,0.38123100301346247,5.551115123125783e-17,1.4561027511526275e-16
0.85,1.0,-3.0,0.09897415545138522,0.09897415545138304,2.1788126858268697e-15,2.20139558240244e-14
0.85,1.0,-6.0,0.036109846540739454,0.0361098465411319,3.924430225232811e-13,1.086803351756863e-11
0.85,1.5,-0.1,1.0492311296292864,1.0492311296292867,2.220446049250313e-16,2.1162601704686735e-16
0.85,1.5,-1.0,0.5913398954518114,0.5913398954518114,0.0,0.0
0.85,1.5,-3.0,0.2514241842952307,0.25142418429523156,8.326672684688674e-16,3.311802604840586e-15
0.85,1.5,-6.0,0.12495249286206445,0.12495249286206779,3.344546861683284e-15,2.6766547710058518e-14
1.25,1.25,-0.1,1.0302571573024324,1.0302571573024326,2.220446049250313e-16,2.1552347717381592e-16
1.25,1.25,-1.0,0.5403493448765235,0.5403493448765235,0.0,0.0
1.25,1.25,-3.0,0.09024431852963977,0.09024431852963959,1.8041124150158794e-16,1.999142377504177e-15
1.25,1.25,-6.0,-0.020634886748782222,-0.02063488674878062,1.6028844918025698e-15,7.767837601034032e-14
1.25,1.0,-0.1,0.9146885326939513,0.9146885326939516,2.220446049250313e-16,2.4275433329317347e-16
1.25,1.0,-1.0,0.36553444002525026,0.3655344400252503,5.551115123125783e-17,1.5186298513328386e-16
1.25,1.0,-3.0,-0.059930488882997235,-0.05993048888299674,4.926614671774132e-16,8.220548110983111e-15
1.25,1.0,-6.0,-0.08716002467486739,-0.0871600246748654,1.9845236565174673e-15,2.276873674508895e-14
1.25,1.5,-0.1,1.0678426208901382,1.0678426208901384,2.220446049250313e-16,2.0793757486467256e-16
1.25,1.5,-1.0,0.6480644320766522,0.6480644320766522,0.0,0.0
1.25,1.5,-3.0,0.21336761413676386,0.21336761413676403,1.6653345369377348e-16,7.805001446331454e-16
1.25,1.5,-6.0,0.05118041652951799,0.0511804165295217,3.70536934468646e-15,7.239818657101281e-14
