alpha,z,has_reference,reference,series_value,hybrid_value,series_is_finite,hybrid_is_finite,series_relative_error,hybrid_relative_error
0.45,-0.0,True,1.0,1.0,1.0,True,True,0.0,0.0
0.45,-1.0,True,0.4348090791719741,0.4348090791719741,0.4348090791719741,True,True,0.0,0.0
0.45,-2.0,True,0.26465987903157684,0.2646598790316048,0.2646598790316048,True,True,1.0571160359827681e-13,1.0571160359827681e-13
0.45,-4.0,True,0.1450002381371397,0.14500045776367188,0.14500045776367188,True,True,1.5146632516235747e-06,1.5146632516235747e-06
0.45,-6.0,True,0.09919562879606125,-2.78415653785066e+20,0.09891094107919071,True,True,2.80673309060289e+21,0.0028699623191646615
0.45,-8.0,True,0.0752582095241518,-2.355750627578152e+40,0.07513598280643737,True,True,3.1302241210271507e+41,0.0016240981347716984
0.45,-10.0,False,nan,-6.651140422679473e+55,0.0605289373241826,True,True,nan,nan
0.45,-20.0,False,nan,-6.101244733216033e+103,0.030636963365332535,True,True,nan,nan
0.45,-40.0,False,nan,-5.1105333413478773e+151,0.015398518993547468,True,True,nan,nan
0.45,-80.0,False,nan,-4.029018700708995e+199,0.00771751308635024,True,True,nan,nan
0.65,-0.0,True,1.0,1.0,1.0,True,True,0.0,0.0
0.65,-1.0,True,0.40637512830211736,0.4063751283021175,0.4063751283021175,True,True,4.098022789671446e-16,4.098022789671446e-16
0.65,-2.0,True,0.22494106594529703,0.22494106594529484,0.22494106594529484,True,True,9.747844238312271e-15,9.747844238312271e-15
0.65,-4.0,True,0.10996863817907933,0.10996863817945268,0.10996863817945268,True,True,3.3950963799846347e-12,3.3950963799846347e-12
0.65,-6.0,True,0.0712707057159733,0.07127070147544146,0.07127070147544146,True,True,5.949894560095877e-08,5.949894560095877e-08
0.65,-8.0,True,0.052490523697224754,0.05243110656738281,0.05243110656738281,True,True,0.001131959173901009,0.001131959173901009
0.65,-10.0,False,nan,-1.875,0.04207155228498203,True,True,nan,nan
0.65,-20.0,False,nan,-7.18853918856879e+41,0.020347156385381426,True,True,nan,nan
