method,alpha,threshold,z,value,grad_alpha,finite_value,finite_grad
hard,0.55,4.0,-3.0,0.16963268988831715,-0.19278387802478392,True,True
hard,0.55,4.0,-3.05,0.16699248620852813,-0.19199647520872531,True,True
hard,0.55,4.0,-3.1,0.16442949583051814,-0.1911853256460745,True,True
hard,0.55,4.0,-3.15,0.16194051698039402,-0.19035268817970064,True,True
hard,0.55,4.0,-3.2,0.15952251605926904,-0.1895006673730677,True,True
hard,0.55,4.0,-3.25,0.15717261710688035,-0.18863122357288375,True,True
hard,0.55,4.0,-3.3,0.15488809202634002,-0.18774618265160825,True,True
hard,0.55,4.0,-3.35,0.15266635150965158,-0.1868472445057705,True,True
hard,0.55,4.0,-3.4,0.15050493659055064,-0.1859359915542882,True,True
hard,0.55,4.0,-3.45,0.14840151080898067,-0.18501389655284584,True,True
hard,0.55,4.0,-3.5,0.14635385289966507,-0.18408232979709283,True,True
hard,0.55,4.0,-3.55,0.14435984999363427,-0.18314256612211466,True,True
hard,0.55,4.0,-3.6,0.1424174912754097,-0.1821957902284339,True,True
hard,0.55,4.0,-3.65,0.14052486208674964,-0.18124310416169465,True,True
hard,0.55,4.0,-3.7,0.13868013839964988,-0.1802855315618217,True,True
hard,0.55,4.0,-3.75,0.13688158164950437,-0.17932402389124036,True,True
hard,0.55,4.0,-3.8,0.13512753395480104,-0.17835946404375136,True,True
hard,0.55,4.0,-3.85,0.13341641359875211,-0.17739267088472843,True,True
hard,0.55,4.0,-3.9,0.13174671085289447,-0.1764244083315134,True,True
hard,0.55,4.0,-3.95,0.130116983957123,-0.17545537557452917,True,True
hard,0.55,4.0,-4.0,0.12852585552900564,-0.1744862301275134,True,True
hard,0.55,4.0,-4.05,0.12653284738160042,-0.13964122409118035,True,True
hard,0.55,4.0,-4.1,0.12504273392437928,-0.13962827363364486,True,True
hard,0.55,4.0,-4.15,0.12358567523488298,-0.1395796616868333,True,True
hard,0.55,4.0,-4.2,0.12216064651127094,-0.1394976291046753,True,True
hard,0.55,4.0,-4.25,0.12076666150076468,-0.13938428739131126,True,True
hard,0.55,4.0,-4.3,0.11940277094276122,-0.13924162599617887,True,True
hard,0.55,4.0,-4.35,0.11806806106498836,-0.1390715192545587,True,True
hard,0.55,4.0,-4.4,0.1167616521332556,-0.13887573297795988,True,True
hard,0.55,4.0,-4.45,0.11548269705484619,-0.13865593070165086,True,True
hard,0.55,4.0,-4.5,0.11423038003518694,-0.13841367959881334,True,True
hard,0.55,4.0,-4.55,0.11300391528710393,-0.13815045607236803,True,True
hard,0.55,4.0,-4.6,0.11180254579171581,-0.13786765103661572,True,True
hard,0.55,4.0,-4.65,0.11062554210981222,-0.1375665749015409,True,True
hard,0.55,4.0,-4.7,0.10947220124241397,-0.1372484622730283,True,True
hard,0.55,4.0,-4.75,0.10834184553909482,-0.136914476382403,True,True
hard,0.55,4.0,-4.8,0.10723382165256634,-0.1365657132586788,True,True
hard,0.55,4.0,-4.85,0.10614749953797016,-0.13620320565672644,True,True
hard,0.55,4.0,-4.9,0.10508227149529242,-0.1358279267542929,True,True
hard,0.55,4.0,-4.95,0.1040375512533005,-0.1354407936304377,True,True
hard,0.55,4.0,-5.0,0.10301277309340265,-0.13504267053752886,True,True
smooth,0.55,4.0,-3.0,0.16963268988831715,-0.19278387802478392,True,True
smooth,0.55,4.0,-3.05,0.16699248620852813,-0.19199647520872531,True,True
smooth,0.55,4.0,-3.1,0.16442949583051814,-0.1911853256460745,True,True
smooth,0.55,4.0,-3.15,0.16194051698039402,-0.19035268817970064,True,True
smooth,0.55,4.0,-3.2,0.15952251605926904,-0.1895006673730677,True,True
smooth,0.55,4.0,-3.25,0.15717261710688035,-0.18863122357288375,True,True
smooth,0.55,4.0,-3.3,0.15488809202634002,-0.18774618265160825,True,True
smooth,0.55,4.0,-3.35,0.15266635150965158,-0.1868472445057705,True,True
smooth,0.55,4.0,-3.4,0.15050493659055064,-0.1859359915542882,True,True
smooth,0.55,4.0,-3.45,0.14839656864661935,-0.18476564034391915,True,True
smooth,0.55,4.0,-3.5,0.14633592010242147,-0.18314876097462027,True,True
smooth,0.55,4.0,-3.55,0.14432326296330908,-0.18116879683835263,True,True
smooth,0.55,4.0,-3.6,0.1423585405654873,-0.17890045947714853,True,True
smooth,0.55,4.0,-3.65,0.14044142842226515,-0.1764105612282363,True,True
smooth,0.55,4.0,-3.7,0.13857138535192293,-0.17375877195910444,True,True
smooth,0.55,4.0,-3.75,0.13674769643017073,-0.17099830989946305,True,True
smooth,0.55,4.0,-3.8,0.13496950908694133,-0.16817656731419528,True,True
smooth,0.55,4.0,-3.85,0.13323586333524637,-0.16533568155363426,True,True
smooth,0.55,4.0,-3.9,0.13154571711991545,-0.16251304843227993,True,True
smooth,0.55,4.0,-3.95,0.12989796743498983,-0.15974179108971537,True,True
smooth,0.55,4.0,-4.0,0.128291468047603,-0.15705118220087172,True,True
smooth,0.55,4.0,-4.05,0.12672504416016267,-0.15446703018424227,True,True
smooth,0.55,4.0,-4.1,0.12519750454856568,-0.1520120150224253,True,True
smooth,0.55,4.0,-4.15,0.12370765164690276,-0.14970601753616067,True,True
smooth,0.55,4.0,-4.2,0.12225428989564537,-0.1475663847176356,True,True
smooth,0.55,4.0,-4.25,0.12083623236818716,-0.14560819138243702,True,True
smooth,0.55,4.0,-4.3,0.11945230619876632,-0.14384448073671371,True,True
smooth,0.55,4.0,-4.35,0.11810135714031218,-0.14228645168568096,True,True
smooth,0.55,4.0,-4.4,0.11678225300000165,-0.1409436702979139,True,True
smooth,0.55,4.0,-4.45,0.11549388620150036,-0.1398242167826612,True,True
smooth,0.55,4.0,-4.5,0.11423517610288131,-0.13893485416875676,True,True
smooth,0.55,4.0,-4.55,0.11300507027137828,-0.13828116028434578,True,True
smooth,0.55,4.0,-4.6,0.11180254579171581,-0.13786765103661572,True,True
smooth,0.55,4.0,-4.65,0.11062554210981222,-0.1375665749015409,True,True
smooth,0.55,4.0,-4.7,0.10947220124241397,-0.1372484622730283,True,True
smooth,0.55,4.0,-4.75,0.10834184553909482,-0.136914476382403,True,True
smooth,0.55,4.0,-4.8,0.10723382165256634,-0.1365657132586788,True,True
smooth,0.55,4.0,-4.85,0.10614749953797016,-0.13620320565672644,True,True
smooth,0.55,4.0,-4.9,0.10508227149529242,-0.1358279267542929,True,True
smooth,0.55,4.0,-4.95,0.1040375512533005,-0.1354407936304377,True,True
smooth,0.55,4.0,-5.0,0.10301277309340265,-0.13504267053752886,True,True
hard,0.65,8.0,-6.0,0.07127070147544146,-0.15564954280853271,True,True
hard,0.65,8.0,-6.1,0.07002434646710753,-0.15385890007019043,True,True
hard,0.65,8.0,-6.2,0.06882000714540482,-0.15209972858428955,True,True
hard,0.65,8.0,-6.3,0.06765563227236271,-0.15037155151367188,True,True
hard,0.65,8.0,-6.4,0.06652929820120335,-0.1486741304397583,True,True
hard,0.65,8.0,-6.5,0.06543921306729317,-0.14700722694396973,True,True
hard,0.65,8.0,-6.6,0.06438367813825607,-0.1453700065612793,True,True
hard,0.65,8.0,-6.7,0.06336107850074768,-0.14375877380371094,True,True
hard,0.65,8.0,-6.8,0.06236995756626129,-0.1421794891357422,True,True
hard,0.65,8.0,-6.9,0.061408862471580505,-0.14061927795410156,True,True
hard,0.65,8.0,-7.0,0.06047642230987549,-0.13909339904785156,True,True
hard,0.65,8.0,-7.1,0.05957132577896118,-0.13756561279296875,True,True
hard,0.65,8.0,-7.2,0.0586925745010376,-0.13604736328125,True,True
hard,0.65,8.0,-7.3,0.0578385591506958,-0.1345367431640625,True,True
hard,0.65,8.0,-7.4,0.05700838565826416,-0.13299560546875,True,True
hard,0.65,8.0,-7.5,0.05620074272155762,-0.131378173828125,True,True
hard,0.65,8.0,-7.6,0.05541372299194336,-0.129638671875,True,True
hard,0.65,8.0,-7.7,0.05464601516723633,-0.127685546875,True,True
hard,0.65,8.0,-7.8,0.053897857666015625,-0.1251220703125,True,True
hard,0.65,8.0,-7.9,0.05316162109375,-0.121826171875,True,True
