parameter,epsilon,grad_auto,grad_fd,relative_error
alpha,0.01,0.020040919289933557,0.02003750110420306,0.0001705894219405191
alpha,0.003,0.020040919289933557,0.020040611779787956,1.534434921348002e-05
alpha,0.001,0.020040919289933557,0.020040885123375884,1.7048427483625399e-06
alpha,0.0003,0.020040919289933557,0.020040916214922613,1.53436644852745e-07
alpha,0.0001,0.020040919289933557,0.02004091894817605,1.705298587325331e-08
beta,0.01,0.000780093926973268,0.0007804037656146547,0.00039702350890458594
beta,0.003,0.000780093926973268,0.0007801218107232607,3.574281555698855e-05
beta,0.001,0.000780093926973268,0.0007800970251505576,3.971528142912185e-06
beta,0.0003,0.000780093926973268,0.0007800942058095514,3.57439244266631e-07
beta,0.0001,0.000780093926973268,0.0007800939579470433,3.970518549318761e-08
