seed,model,train_relative_error,long_time_relative_error,alpha_est,alpha_relative_error
0,Hybrid_MLSL_residual,0.0004726310175800212,0.0032951299519712388,1.25,0.0
0,MLSL_backbone_only,0.06663941278183942,0.28031873233374727,1.25,0.0
0,FNO1D_width32_modes12,0.31239808224882526,1.7670514639655563,,
0,DeepONet_latent64_hidden96,0.46616383773974085,1.9285671425289705,,
1,Hybrid_MLSL_residual,0.00048232743137610124,0.003321542212748504,1.25,0.0
1,MLSL_backbone_only,0.06641138949784964,0.2822425903195197,1.25,0.0
1,FNO1D_width32_modes12,0.3332601417355862,2.072362434944076,,
1,DeepONet_latent64_hidden96,0.5222962224196922,1.6191358417057917,,
2,Hybrid_MLSL_residual,0.00046453524089935404,0.0031683127284193656,1.25,0.0
2,MLSL_backbone_only,0.06447563550861524,0.28257309760228416,1.25,0.0
2,FNO1D_width32_modes12,0.34372826893657416,2.455396370560404,,
2,DeepONet_latent64_hidden96,0.597300002602318,1.5848008793876553,,
