seed,noise_level,num_sensors,num_times,alpha_est,beta_est,alpha_relative_error,beta_relative_error,final_loss
5000,0.0,128,8,1.3800000000932253,1.3500000002019648,6.755465752012638e-11,1.4960345719440805e-10,8.894585263904255e-24
5001,0.0,128,8,1.3800000000932253,1.3500000002019648,6.755465752012638e-11,1.4960345719440805e-10,8.894585263904255e-24
5002,0.0,128,8,1.3800000000932253,1.3500000002019648,6.755465752012638e-11,1.4960345719440805e-10,8.894585263904255e-24
5003,0.0,128,8,1.3800000000932253,1.3500000002019648,6.755465752012638e-11,1.4960345719440805e-10,8.894585263904255e-24
5004,0.0,128,8,1.3800000000932253,1.3500000002019648,6.755465752012638e-11,1.4960345719440805e-10,8.894585263904255e-24
5000,0.0,16,6,1.3800000001280033,1.3500000002767814,9.275607657156692e-11,2.0502315894393378e-10,1.460415907925334e-23
5001,0.0,16,6,1.3800000001280033,1.3500000002767814,9.275607657156692e-11,2.0502315894393378e-10,1.460415907925334e-23
5002,0.0,16,6,1.3800000001280033,1.3500000002767814,9.275607657156692e-11,2.0502315894393378e-10,1.460415907925334e-23
5003,0.0,16,6,1.3800000001280033,1.3500000002767814,9.275607657156692e-11,2.0502315894393378e-10,1.460415907925334e-23
5004,0.0,16,6,1.3800000001280033,1.3500000002767814,9.275607657156692e-11,2.0502315894393378e-10,1.460415907925334e-23
5000,0.0,8,4,1.3800000000651584,1.350000000142055,4.7216337120319267e-11,1.0522578693157642e-10,4.466719125179124e-24
5001,0.0,8,4,1.3800000000651584,1.350000000142055,4.7216337120319267e-11,1.0522578693157642e-10,4.466719125179124e-24
5002,0.0,8,4,1.3800000000651584,1.350000000142055,4.7216337120319267e-11,1.0522578693157642e-10,4.466719125179124e-24
5003,0.0,8,4,1.3800000000651584,1.350000000142055,4.7216337120319267e-11,1.0522578693157642e-10,4.466719125179124e-24
5004,0.0,8,4,1.3800000000651584,1.350000000142055,4.7216337120319267e-11,1.0522578693157642e-10,4.466719125179124e-24
5000,0.0,4,4,1.3800000000021897,1.3500000000036427,1.58681441577584e-12,2.698253143551954e-12,6.363082976600651e-27
5001,0.0,4,4,1.3800000000021897,1.3500000000036427,1.58681441577584e-12,2.698253143551954e-12,6.363082976600651e-27
5002,0.0,4,4,1.3800000000021897,1.3500000000036427,1.58681441577584e-12,2.698253143551954e-12,6.363082976600651e-27
5003,0.0,4,4,1.3800000000021897,1.3500000000036427,1.58681441577584e-12,2.698253143551954e-12,6.363082976600651e-27
5004,0.0,4,4,1.3800000000021897,1.3500000000036427,1.58681441577584e-12,2.698253143551954e-12,6.363082976600651e-27
5000,0.001,128,8,1.3802235898619208,1.3498516457925382,0.0001620216390731504,0.00010989200552729088,1.2152870148753525e-07
5001,0.001,128,8,1.3799726851822083,1.3499991248762762,1.9793346225806314e-05,6.482397955046528e-07,1.1315528464154722e-07
5002,0.001,128,8,1.3802600240156275,1.3501581242036171,0.00018842319973017078,0.00011712903971633287,1.1867073963718184e-07
5003,0.001,128,8,1.3799500363647095,1.3497517496665585,3.620553281914318e-05,0.0001838891358826352,1.0468447570000019e-07
5004,0.001,128,8,1.3809432982522358,1.351617151679727,0.0006835494581419825,0.0011978901331310965,9.579654523190108e-08
5000,0.001,16,6,1.3793562039943654,1.348831978643667,0.0004665188446626574,0.0008652010046910979,1.2932269938011765e-07
