noise_level,num_sensors,num_times,seeds,alpha_error_mean,alpha_error_std,beta_error_mean,beta_error_std,joint_error_mean,joint_error_max
0.0,128,8,5,6.755465752012638e-11,0.0,1.4960345719440805e-10,0.0,1.4960345719440805e-10,1.4960345719440805e-10
0.0,16,6,5,9.275607657156692e-11,0.0,2.050231589439338e-10,2.890050123966384e-26,2.050231589439338e-10,2.0502315894393378e-10
0.0,8,4,5,4.7216337120319267e-11,0.0,1.0522578693157641e-10,1.445025061983192e-26,1.0522578693157641e-10,1.0522578693157642e-10
0.0,4,4,5,1.5868144157758401e-12,2.2578516593487376e-28,2.698253143551954e-12,0.0,2.698253143551954e-12,2.698253143551954e-12
0.001,128,8,5,0.00021799863519805063,0.00027068421078406694,0.00032188971081057203,0.00049408676888742,0.00035040349080857184,0.0011978901331310965
0.001,16,6,5,0.0011625657971538253,0.0008997276922767676,0.0025612571954644016,0.002141615735556713,0.0025612571954644016,0.005614614319998286
0.001,8,4,5,0.000722657245830374,0.000573754628132748,0.0016963610713528188,0.0007492763552430892,0.001724651527399981,0.002543107834002915
0.001,4,4,5,0.0014357974597357032,0.0013218449778218623,0.003698816755502321,0.003835817728562498,0.003703969963946836,0.010192051484986787
0.01,128,8,5,0.0021989630291047893,0.002738771303484295,0.0032507329719072596,0.005000750040079183,0.0035358996748474036,0.012118543052728355
0.01,16,6,5,0.01152139585394853,0.008974645597379347,0.02548339817253268,0.021546775660228584,0.02548339817253268,0.05644808227340287
0.01,8,4,5,0.007438791754334749,0.005853759256479936,0.017260019922457636,0.008012757384618997,0.01755144741611556,0.02671840903182164
0.01,4,4,5,0.01446418487664423,0.013723756624354808,0.037297060704007005,0.040681259016052684,0.03733243169909929,0.10681736157193086
0.05,128,8,5,0.011444372480705864,0.014455898405843062,0.01700585078625372,0.02642202167796745,0.018430940587878305,0.06389608430844697
0.05,16,6,5,0.05568839780031924,0.04472217777715047,0.12552440128396675,0.11157559011025822,0.12552440128396675,0.291146905998037
0.05,8,4,5,0.0431510366131295,0.033082801581227464,0.09700538310725734,0.058103292727867684,0.09865742363154516,0.17546976336704506
0.05,4,4,5,0.07184958135576194,0.0740915980905127,0.1778348199263235,0.2110038484180132,0.1778348199263235,0.5433651841876304
