seed,model,target,inferred_alpha,inferred_rate,heldout_all_relative_error,late_lag_relative_error,parameter_count,training_seconds,residual_fraction
0,MSD power law,MSD,0.9093951990896332,5.955667818544375,0.03708315229447705,0.038741953612886355,2,0.0,0.0
0,Stretched exponential,scattering,0.8838806043324929,0.08841954960464475,0.02137339836416499,0.0374330358553975,2,0.0,0.0
0,Direct MLSL inverse,scattering,0.9100093982084121,0.0838280993483605,0.02811441617888783,0.06907882501870971,2,0.40381120005622506,0.0
0,Pure MLP,scattering,,,0.06583368320105765,0.2044059117283778,1153,0.48314629995729774,1.0
0,MLSL + residual MLP,scattering,0.9016418281692569,0.08199847821873661,0.023906908971034042,0.04954427216509759,323,1.223610799992457,0.04012050481259392
1,MSD power law,MSD,0.9132024899901703,5.967086680122577,0.008520994289758606,0.006487628256044293,2,0.0,0.0
1,Stretched exponential,scattering,0.8897027722938851,0.08846253767284785,0.032026544879180635,0.09626479913697482,2,0.0,0.0
1,Direct MLSL inverse,scattering,0.9157503584127262,0.08387721269599403,0.012669113706573904,0.028845205630894485,2,0.3893179000588134,0.0
1,Pure MLP,scattering,,,0.03576727944263095,0.10629475585022471,1153,0.49535119999200106,1.0
1,MLSL + residual MLP,scattering,0.9047136558566884,0.08280283429232485,0.020234015213366,0.057436052868704596,323,1.220647200010717,0.04200394556761152
2,MSD power law,MSD,0.9121519100145841,5.949255199346901,0.014437678092212114,0.01553763601898263,2,0.0,0.0
2,Stretched exponential,scattering,0.8876839242932943,0.08822291205748883,0.01971524625469782,0.06046765902937965,2,0.0,0.0
2,Direct MLSL inverse,scattering,0.9146353319213352,0.08344674772469714,0.008276127190210593,0.020855007836525545,2,0.38227289996575564,0.0
2,Pure MLP,scattering,,,0.04964077795365533,0.15555647248708301,1153,0.4873627000488341,1.0
2,MLSL + residual MLP,scattering,0.9021096016149042,0.08179574386061209,0.011567548296981596,0.033355038186587624,323,1.2570832999190316,0.051898085616861725
3,MSD power law,MSD,0.9112288212217133,5.9748633223230865,0.005189032664396885,0.00538036380648854,2,0.0,0.0
3,Stretched exponential,scattering,0.8871368463314057,0.08861685600177809,0.03106754984405124,0.09703483734072589,2,0.0,0.0
3,Direct MLSL inverse,scattering,0.9131358950008628,0.08404936160960408,0.009417495627191552,0.028412718917465402,2,0.39082240010611713,0.0
3,Pure MLP,scattering,,,0.040194094342367766,0.12155926153556439,1153,0.48713370005134493,1.0
3,MLSL + residual MLP,scattering,0.9038395036116587,0.08309751636664493,0.01700447987331269,0.05281681094033527,323,1.2621477999491617,0.03565923062173288
4,MSD power law,MSD,0.9107206470372063,5.962614877082161,0.030071788585614417,0.03209884490797066,2,0.0,0.0
4,Stretched exponential,scattering,0.8873806584348565,0.08829951768136668,0.015073013579876568,0.045899223404878245,2,0.0,0.0
4,Direct MLSL inverse,scattering,0.91351374590305,0.08369966858239065,0.012157185172152786,0.035709515410718116,2,0.38820060004945844,0.0
4,Pure MLP,scattering,,,0.07588163170866935,0.2382048349549077,1153,0.512797600007616,1.0
4,MLSL + residual MLP,scattering,0.9019393068242978,0.08297160431531994,0.008256835310000373,0.02124982169117763,323,1.2532064999686554,0.04087182661143106
