alpha,z,series_value,hybrid_value,series_is_finite,hybrid_is_finite
0.65,-0.0,1.0,1.0,True,True
0.65,-1.0,0.4063751283021175,0.4063751283021175,True,True
0.65,-2.0,0.22494106594529484,0.22494106594529484,True,True
0.65,-3.0,0.1491501299635445,0.1491501299635445,True,True
0.65,-4.0,0.10996863817945268,0.10996863817945268,True,True
0.65,-5.0,0.0866128013440175,0.0866128013440175,True,True
0.65,-6.0,0.07127070147544146,0.07127070147544146,True,True
0.65,-7.0,0.06047642230987549,0.06047642230987549,True,True
0.65,-8.0,0.05243492126464844,0.05243492126464844,True,True
0.65,-9.0,-0.15380859375,0.047077924829685654,True,True
0.65,-10.0,-55674.3125,0.04207155228498203,True,True
0.65,-11.0,-4977145008.0,0.0380227792206941,True,True
0.65,-12.0,-164580438261760.0,0.034681846524745964,True,True
0.65,-13.0,-2.3611074069366047e+18,0.03187863973462311,True,True
0.65,-14.0,-1.663578120571899e+22,0.029493367667021927,True,True
0.65,-15.0,-6.351054142539244e+25,0.027439277723662624,True,True
0.65,-16.0,-1.4221037188092602e+29,0.025652023466900056,True,True
0.65,-17.0,-1.9926923827327805e+32,0.024082882727394377,True,True
0.65,-18.0,-1.8436625457609927e+35,0.02269429449012504,True,True
0.65,-19.0,-1.1780882750022648e+38,0.021456840781450194,True,True
0.65,-20.0,-5.400631877162611e+40,0.020347156385381426,True,True
0.65,-21.0,-1.834748562163437e+43,0.019346450225296345,True,True
0.65,-22.0,-4.7500623207705624e+45,0.018439439527660764,True,True
0.65,-23.0,-9.60106768499008e+47,0.01761356843723141,True,True
0.65,-24.0,-1.5473941860458558e+50,0.01685842636969997,True,True
0.65,-25.0,-2.0257407458994166e+52,0.016165309020316862,True,True
0.65,-26.0,-2.1895832345077036e+54,0.015526882844548583,True,True
0.65,-27.0,-1.982544823003526e+56,0.014936925653830155,True,True
0.65,-28.0,-1.5232490042435252e+58,0.014390123929167399,True,True
0.65,-29.0,-1.0046553419550223e+60,0.013881912902680565,True,True
0.65,-30.0,-5.747292599169904e+61,0.013408349242895027,True,True
0.65,-31.0,-2.878511422231386e+63,0.012966008848075482,True,True
0.65,-32.0,-1.2729241499538721e+65,0.012551904157692898,True,True
0.65,-33.0,-5.008402444788189e+66,0.012163416769847555,True,True
0.65,-34.0,-1.7655967059576178e+68,0.011798242159788858,True,True
0.65,-35.0,-5.612402493881665e+69,0.011454344038970504,True,True
0.65,-36.0,-1.6181032900401013e+71,0.011129916449482599,True,True
0.65,-37.0,-4.253930037434289e+72,0.010823352106994463,True,True
0.65,-38.0,-1.0248052287870252e+74,0.010533215823114287,True,True
0.65,-39.0,-2.272649606281645e+75,0.010258222081456452,True,True
