alpha,finite_grad,finite_value,grad_alpha,value,z
0.55,True,True,-0.19278387802478392,0.16963268988831715,-3.0
0.55,True,True,-0.1911853256460745,0.16442949583051814,-3.1
0.55,True,True,-0.1895006673730677,0.15952251605926904,-3.2
0.55,True,True,-0.18774618265160825,0.15488809202634002,-3.3
0.55,True,True,-0.1859359915542882,0.15050493659055064,-3.4
0.55,True,True,-0.18314876097462027,0.14633592010242147,-3.5
0.55,True,True,-0.17890045947714853,0.1423585405654873,-3.6
0.55,True,True,-0.17375877195910444,0.13857138535192293,-3.7
0.55,True,True,-0.16817656731419528,0.13496950908694133,-3.8
0.55,True,True,-0.16251304843227993,0.13154571711991545,-3.9
0.55,True,True,-0.15705118220087172,0.128291468047603,-4.0
0.55,True,True,-0.1520120150224253,0.12519750454856568,-4.1
0.55,True,True,-0.1475663847176356,0.12225428989564537,-4.2
0.55,True,True,-0.14384448073671371,0.11945230619876632,-4.3
0.55,True,True,-0.1409436702979139,0.11678225300000165,-4.4
0.55,True,True,-0.13893485416875676,0.11423517610288131,-4.5
0.55,True,True,-0.13786765103661572,0.11180254579171581,-4.6
0.55,True,True,-0.1372484622730283,0.10947220124241397,-4.7
0.55,True,True,-0.1365657132586788,0.10723382165256634,-4.8
0.55,True,True,-0.1358279267542929,0.10508227149529242,-4.9
0.55,True,True,-0.13504267053752886,0.10301277309340265,-5.0
0.65,True,True,-0.15564954280853271,0.07127070147544146,-6.0
0.65,True,True,-0.15209972858428955,0.06882000714540482,-6.2
0.65,True,True,-0.1486741304397583,0.06652929820120335,-6.4
0.65,True,True,-0.1453700065612793,0.06438367813825607,-6.6
0.65,True,True,-0.1421794891357422,0.06236995756626129,-6.8
0.65,True,True,-0.13887774671333583,0.060500923178787754,-7.0
0.65,True,True,-0.13534504630331207,0.058779373970692175,-7.2
0.65,True,True,-0.13156268975324875,0.05718120229983134,-7.4
0.65,True,True,-0.1276033444895771,0.05568571258198344,-7.6
0.65,True,True,-0.12311744452357098,0.054275428817976076,-7.8
0.65,True,True,-0.1171106629855134,0.0529273667631734,-8.0
0.65,True,True,-0.1076885467979634,0.05162729865215039,-8.2
0.65,True,True,-0.09334973672421636,0.050343458416090864,-8.4
0.65,True,True,-0.07166990797734724,0.04906710867260812,-8.6
0.65,True,True,-0.05467890157146077,0.04780805767804377,-8.8
0.65,True,True,-0.061777058539567414,0.0467953179102937,-9.0
0.65,True,True,-0.10605993663522861,0.04598422248483558,-9.2
0.65,True,True,-0.10432411071454999,0.04493984081602549,-9.4
0.65,True,True,-0.102635721929234,0.043941537707813005,-9.6
0.65,True,True,-0.10099357871020488,0.0429863474982797,-9.8
0.65,True,True,-0.09939643325089748,0.04207155228498203,-10.0
1.25,True,True,-0.5187484895434835,-0.08716002467486739,-6.0
1.25,True,True,-0.49852255870926854,-0.08381173206426062,-6.2
1.25,True,True,-0.47746661385815514,-0.08040292995433873,-6.4
1.25,True,True,-0.45583156875770214,-0.07697669458618961,-6.6
1.25,True,True,-0.4338440408833151,-0.07356859270625193,-6.8
1.25,True,True,-0.41288032286140897,-0.0702597904571885,-7.0
1.25,True,True,-0.3937837437318584,-0.0671099272177402,-7.2
1.25,True,True,-0.37605258348661674,-0.06411579658186783,-7.4
1.25,True,True,-0.3592845330450913,-0.06127209281661744,-7.6
1.25,True,True,-0.34315645651760746,-0.05857137496721872,-7.8
1.25,True,True,-0.3274080140624047,-0.056004159894105995,-8.0
1.25,True,True,-0.3118284372072154,-0.0535590939981718,-8.2
1.25,True,True,-0.29624587733241925,-0.05122316873407778,-8.4
1.25,True,True,-0.2805188531449133,-0.04898195595748617,-8.6
1.25,True,True,-0.2645294088339514,-0.046819846957390825,-8.8
1.25,True,True,-0.2481776647885735,-0.044720284576499084,-9.0
1.25,True,True,-0.23137750018503894,-0.0426659817564078,-9.2
1.25,True,True,-0.21480369470438793,-0.04069014935034055,-9.4
1.25,True,True,-0.19917845012331475,-0.038834974525756794,-9.6
1.25,True,True,-0.184490455394658,-0.03709589702501496,-9.8
1.25,True,True,-0.17072304170331754,-0.0354680344153117,-10.0
